channel,mean_lung,mean_non_lung,selectivity_index,gini_sparsity,region_preference
0,0.198142,0.430495,0.3696,0.6928,non_lung
1,0.089019,0.480184,0.6872,0.7932,non_lung
2,0.052162,0.68083,0.8577,0.7513,non_lung
3,0.028305,0.531614,0.8989,0.7368,non_lung
4,0.422878,0.482229,0.0656,0.6728,non_lung
5,0.024078,0.496765,0.9075,0.7924,non_lung
6,0.023643,0.654021,0.9302,0.7376,non_lung
7,0.081196,0.349691,0.6231,0.8538,non_lung
8,0.59391,0.226036,0.4487,0.653,lung
9,1.205163,0.087251,0.865,0.7473,lung
10,0.210284,0.587804,0.473,0.6701,non_lung
11,0.866245,0.173027,0.667,0.6576,lung
12,0.055329,0.411246,0.7628,0.8243,non_lung
13,0.243557,0.501185,0.3459,0.6864,non_lung
14,0.046691,0.576685,0.8502,0.6907,non_lung
15,0.134021,0.639829,0.6536,0.6699,non_lung
16,0.294054,0.362539,0.1043,0.7748,non_lung
17,0.046415,0.378444,0.7815,0.8347,non_lung
18,1.166877,0.091944,0.8539,0.747,lung
19,0.250726,0.405228,0.2355,0.7656,non_lung
20,0.780864,0.288564,0.4603,0.7113,lung
21,1.180739,0.118317,0.8178,0.776,lung
22,0.894402,0.280367,0.5227,0.6999,lung
23,0.10792,0.574262,0.6836,0.6722,non_lung
24,0.019771,0.457887,0.9172,0.7385,non_lung
25,0.947152,0.230067,0.6091,0.7308,lung
26,0.539102,0.212288,0.4349,0.7459,lung
27,0.112301,0.432482,0.5877,0.7452,non_lung
28,0.026731,0.483668,0.8953,0.6673,non_lung
29,0.266292,0.513393,0.3169,0.7196,non_lung
30,0.05686,0.575056,0.82,0.6875,non_lung
31,0.014678,0.423237,0.933,0.7402,non_lung
32,1.30356,0.066372,0.9031,0.7795,lung
33,0.05643,0.539085,0.8105,0.6726,non_lung
34,0.07518,0.616113,0.7825,0.6694,non_lung
35,1.136331,0.094499,0.8464,0.7549,lung
36,0.118416,0.533514,0.6367,0.8036,non_lung
37,0.871962,0.207353,0.6158,0.7515,lung
38,0.29173,0.516188,0.2778,0.7148,non_lung
39,0.085024,0.643997,0.7667,0.652,non_lung
40,0.946139,0.17939,0.6812,0.7576,lung
41,0.109524,0.522825,0.6536,0.7244,non_lung
